Год счета;Площадь;Счет главной книги;Здание;Прогнозируемая сумма
2025;1.0;5179154063;Неизвестно;6324.488512117174
2025;1.0;5482860758;Неизвестно;6324.488512117174
2025;80.0;3151948314;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;6454251127;Неизвестно;6324.488512117174
2025;1.0;3265306918;Неизвестно;6324.488512117174
2025;1.0;5564705053;Неизвестно;6324.488512117174
2025;70.5;1920142469;ЗДН 5400/1/1358;6420.873526519705
2025;1.0;9375161738;Неизвестно;6324.488512117174
2025;1.0;9387159173;Неизвестно;6324.488512117174
2025;1.0;1227959195;Неизвестно;6324.488512117174
2025;1.0;3465519334;Неизвестно;6324.488512117174
2025;1.0;5202242196;Неизвестно;6324.488512117174
2025;1.0;5176756361;Неизвестно;6324.488512117174
2025;1.0;7584448273;Неизвестно;6324.488512117174
2025;1.0;525030110;Неизвестно;6324.488512117174
2025;80.0;381841047;ЗДН 5400/1/7567;6434.04845654595
2025;80.0;2800683032;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;5225700932;Неизвестно;6324.488512117174
2025;1.0;6145477885;Неизвестно;6324.488512117174
2025;1.0;4039333896;Неизвестно;6324.488512117174
2025;293.4;7774500010;ЗДН 5400/1/891;6729.9989899776065
2025;293.4;2279167324;ЗДН 5400/1/891;6729.9989899776065
2025;1.0;9779923798;Неизвестно;6324.488512117174
2025;1.0;8462171925;Неизвестно;6324.488512117174
2025;1.0;3411969355;Неизвестно;6324.488512117174
2025;1.0;2188863591;Неизвестно;6324.488512117174
2025;1.0;1251805355;Неизвестно;6324.488512117174
2025;1.0;447704493;Неизвестно;6324.488512117174
2025;1.0;3762759741;Неизвестно;6324.488512117174
2025;1.0;1468374747;Неизвестно;6324.488512117174
2025;1.0;8299772740;Неизвестно;6324.488512117174
2025;1.0;239659741;Неизвестно;6324.488512117174
2025;1.0;5288339886;Неизвестно;6324.488512117174
2025;1.0;8744309856;Неизвестно;6324.488512117174
2025;1.0;8741911758;Неизвестно;6324.488512117174
2025;1.0;3362791178;Неизвестно;6324.488512117174
2025;1.0;1036794788;Неизвестно;6324.488512117174
2025;1.0;3579103751;Неизвестно;6324.488512117174
2025;1.0;9272355493;Неизвестно;6324.488512117174
2025;1.0;7865815495;Неизвестно;6324.488512117174
2025;1.0;8656278837;Неизвестно;6324.488512117174
2025;1.0;1391407980;Неизвестно;6324.488512117174
2025;1.0;2031412901;Неизвестно;6324.488512117174
2025;1.0;5831193537;Неизвестно;6324.488512117174
2025;1.0;8131520904;Неизвестно;6324.488512117174
2025;1.0;2826986198;Неизвестно;6324.488512117174
2025;1.0;496748017;Неизвестно;6324.488512117174
2025;1.0;7090594356;Неизвестно;6324.488512117174
2025;1.0;7627017015;Неизвестно;6324.488512117174
2025;1.0;7608986487;Неизвестно;6324.488512117174
2025;1.0;6865484734;Неизвестно;6324.488512117174
2025;80.0;5067845635;ЗДН 5400/1/7567;6434.04845654595
2025;1.0;8119188323;Неизвестно;6324.488512117174
2025;196.3;4527055678;ЗДН 5400/1/494;6595.337336761984
2025;1.0;8514850288;Неизвестно;6324.488512117174
2025;1.0;7395153753;Неизвестно;6324.488512117174
2025;1.0;3798323632;Неизвестно;6324.488512117174
2025;1.0;8496096392;Неизвестно;6324.488512117174
2025;1.0;8832430182;Неизвестно;6324.488512117174
2025;1.0;3917291227;Неизвестно;6324.488512117174
2025;1.0;4222455460;Неизвестно;6324.488512117174
2025;1.0;3536657204;Неизвестно;6324.488512117174
2025;1.0;313424530;Неизвестно;6324.488512117174
2025;1.0;834329633;Неизвестно;6324.488512117174
2025;1.0;1566272578;Неизвестно;6324.488512117174
2025;1754.9;9689716103;ЗДН 5400/1/7335;8756.857961909967
2025;1073.7;1594630967;ЗДН 5400/1/7335;7812.146137291204
2025;1.0;8572019230;Неизвестно;6324.488512117174
2025;1.0;7106746398;Неизвестно;6324.488512117174
2025;44.0;7805662440;ЗДН 5400/1/3169;6384.122405920179
2025;41.6;4924019464;ЗДН 5400/1/3169;6380.794002545127
2025;1.0;4945508271;Неизвестно;6324.488512117174
2025;1.0;9172507655;Неизвестно;6324.488512117174
2025;1.0;7922425725;Неизвестно;6324.488512117174
2025;1.0;4670486466;Неизвестно;6324.488512117174
2025;1.0;1753160531;Неизвестно;6324.488512117174
2025;1.0;9404629159;Неизвестно;6324.488512117174
2025;1.0;8024625233;Неизвестно;6324.488512117174
2025;1.0;7707501346;Неизвестно;6324.488512117174
2025;1.0;4590222181;Неизвестно;6324.488512117174
2025;227.5;8901953358;ЗДН 5400/1/213;6638.606580637653
2025;227.5;3666073088;ЗДН 5400/1/213;6638.606580637653
2025;227.5;2436051397;ЗДН 5400/1/213;6638.606580637653
2025;227.5;353568699;ЗДН 5400/1/213;6638.606580637653
2025;1.0;6135999700;Неизвестно;6324.488512117174
2025;1.0;9276882034;Неизвестно;6324.488512117174
2025;1.0;2043795195;Неизвестно;6324.488512117174
2025;1.0;1626124971;Неизвестно;6324.488512117174
2025;1.0;2167323852;Неизвестно;6324.488512117174
